#           time             x_1             y_1             x_2                 y_2         theta_1         theta_2              y2         omega_2
     14.80000000      1.89137149      3.65016451      0.92888467      3.37883605      8.18508034     11.27034729      0.00000000      0.00000000
     14.90000000      1.83901175      3.78615252      1.06069616      3.15827925      8.25795640     11.67439200      0.00000000      0.00000000
     15.00000000      1.78706765      3.89799177      1.30844235      3.01997251      8.31962290     12.06728225      0.00000000      0.00000000
     15.10000000      1.74489845      3.97740954      1.61992507      2.98524945      8.36458618     12.44106962      0.00000000      0.00000000
     15.20000000      1.71886973      4.02249052      1.94640760      3.04872129      8.39061473     12.79591910      0.00000000      0.00000000
     15.30000000      1.71174168      4.03437925      2.25246222      3.19317696      8.39754567     13.13766406      0.00000000      0.00000000
     15.40000000      1.72363624      4.01443488      2.51240191      3.39974087      8.38593463     13.47516898      0.00000000      0.00000000
     15.50000000      1.75282387      3.96312433      2.70255091      3.65004519      8.35641793     13.81873350      0.00000000      0.00000000
     15.60000000      1.79545250      3.88110745      2.79464709      3.92123439      8.31019702     14.17730466      0.00000000      0.00000000
     15.70000000      1.84421663      3.77386369      2.75995038      4.17564934      8.25128357     14.55063292      0.00000000      0.00000000
     15.80000000      1.88936620      3.65596901      2.59613766      4.36341097      8.18815090     14.92303922      0.00000000      0.00000000
     15.90000000      1.92474161      3.54347927      2.34135203      4.45256440      8.12918186     15.27824971      0.00000000      0.00000000
     16.00000000      1.95000257      3.44439846      2.04292751      4.44007158      8.07805115     15.61490407      0.00000000      0.00000000
     16.10000000      1.96720240      3.36071419      1.73599015      4.33361752      8.03533112     15.94128678      0.00000000      0.00000000
     16.20000000      1.97846543      3.29270216      1.44741055      4.14003959      8.00086025     16.26780828      0.00000000      0.00000000
     16.30000000      1.98552677      3.24017380      1.20456906      3.86475771      7.97435905     16.60416098      0.00000000      0.00000000
     16.40000000      1.98986143      3.20112553      1.04124059      3.51754062      7.95471467     16.95681158      0.00000000      0.00000000
     16.50000000      1.99291155      3.16823657      0.99393207      3.12307023      7.93819944     17.32394130      0.00000000      0.00000000
     16.60000000      1.99596201      3.12702624      1.08042564      2.72479104      7.91753753     17.69271654      0.00000000      0.00000000
     16.70000000      1.99903969      3.06197033      1.28151141      2.36544095      7.88497176     18.04930875      0.00000000      0.00000000
     16.80000000      1.99967688      2.96405045      1.55763986      2.06705365      7.83600589     18.39168758      0.00000000      0.00000000
     16.90000000      1.99276251      2.83000717      1.87306334      1.83719697      7.76888255     18.72956905      0.00000000      0.00000000
     17.00000000      1.97057707      2.65820180      2.19835757      1.68448929      7.68223951     19.07935357      0.00000000      0.00000000
     17.10000000      1.92217195      2.44750115      2.49604792      1.62855892      7.57409216     19.46078687      0.00000000      0.00000000
     17.20000000      1.83504337      2.20462850      2.69502016      1.69429535      7.44498846     19.88478010      0.00000000      0.00000000
     17.30000000      1.70847569      1.96023521      2.70348838      1.86048682      7.30726836     20.32043770      0.00000000      0.00000000
     17.40000000      1.56045221      1.74900484      2.51669508      2.04157888      7.17821252     20.71726982      0.00000000      0.00000000
     17.50000000      1.40555409      1.57717967      2.20442473      2.17868255      7.06247890     21.06573328      0.00000000      0.00000000
     17.60000000      1.24825107      1.43735184      1.82267638      2.25590885      6.95719713     21.37924668      0.00000000      0.00000000
     17.70000000      1.08895189      1.32244708      1.40372731      2.27161326      6.85894951     21.67092854      0.00000000      0.00000000
     17.80000000      0.92666331      1.22763009      0.96763560      2.22679037      6.76493637     21.95016481      0.00000000      0.00000000
     17.90000000      0.75946818      1.14980863      0.52939085      2.12298099      6.67269414     22.22330571      0.00000000      0.00000000
     18.00000000      0.58455994      1.08733441      0.10195779      1.96317410      6.57979535     22.49477190      0.00000000      0.00000000
     18.10000000      0.39864226      1.04013155     -0.30302606      1.75263529      6.48385041     22.76888486      0.00000000      0.00000000
     18.20000000      0.19839886      1.00986486     -0.67429717      1.49812877      6.38254816     23.05184560      0.00000000      0.00000000
     18.30000000     -0.01974126      1.00009743     -0.99796546      1.20764841      6.27331452     23.35287415      0.00000000      0.00000000
     18.40000000     -0.26025801      1.01700586     -1.25266052      0.89397227      6.15268622     23.68529103      0.00000000      0.00000000
     18.50000000     -0.52799948      1.07095450     -1.40293233      0.58671025      6.01601859     24.06744408      0.00000000      0.00000000
     18.60000000     -0.81974432      1.17571404     -1.40118300      0.36212382      5.86087140     24.51224533      0.00000000      0.00000000
     18.70000000     -1.10071072      1.33013896     -1.25179425      0.34161796      5.70039551     24.98107694      0.00000000      0.00000000
     18.80000000     -1.32790683      1.50445212     -1.05946496      0.54115623      5.55709196     25.40451640      0.00000000      0.00000000
     18.90000000     -1.49798207      1.67483974     -0.90092687      0.87263959      5.43664732     25.77256640      0.00000000      0.00000000
     19.00000000     -1.62420152      1.83296555     -0.79702010      1.27103060      5.33544199     26.10681440      0.00000000      0.00000000
     19.10000000     -1.71771157      1.97556506     -0.75570599      1.70253529      5.25015368     26.42699650      0.00000000      0.00000000
     19.20000000     -1.78682432      2.10152416     -0.78774833      2.14450273      5.17830114     26.74652937      0.00000000      0.00000000
     19.30000000     -1.83879071      2.21333062     -0.90538678      2.57215801      5.11664482     27.07054887      0.00000000      0.00000000
     19.40000000     -1.88028665      2.31844141     -1.11004624      2.95619505      5.06013466     27.39511585      0.00000000      0.00000000
     19.50000000     -1.91592114      2.42620023     -1.38436008      3.27322021      5.00337808     27.71389138      0.00000000      0.00000000
     19.60000000     -1.94717518      2.54337234     -1.70169278      3.51277339      4.94273440     28.02631660      0.00000000      0.00000000
     19.70000000     -1.97321582      2.67378027     -2.03709817      3.67173771      4.87623089     28.33825976      0.00000000      0.00000000
     19.80000000     -1.99189582      2.82013601     -2.36740109      3.74695626      4.80244264     28.65927576      0.00000000      0.00000000
     19.90000000     -1.99994245      2.98482781     -2.66407105      3.73244616      4.71997515     29.00066153      0.00000000      0.00000000
     20.00000000     -1.99297415      3.16749336     -2.88276996      3.62385224      4.62854410     29.37123141      0.00000000      0.00000000
     20.10000000     -1.96790221      3.35687656     -2.96461551      3.43788644      4.53298995     29.76403146      0.00000000      0.00000000
     20.20000000     -1.92882909      3.52878951     -2.88240057      3.22762271      4.44481269     30.15104623      0.00000000      0.00000000
     20.30000000     -1.88599450      3.66560105     -2.67048381      3.04545871      4.37311714     30.51405434      0.00000000      0.00000000
     20.40000000     -1.84825479      3.76416898     -2.37725792      2.91554911      4.32033810     30.85850110      0.00000000      0.00000000
     20.50000000     -1.82137136      3.82619995     -2.03737353      2.84980706      4.28653354     31.19820843      0.00000000      0.00000000
     20.60000000     -1.80901753      3.85291007     -1.67874725      2.86143155      4.27181906     31.54656811      0.00000000      0.00000000
     20.70000000     -1.81270161      3.84505198     -1.33514596      2.96645048      4.27615847     31.91379705      0.00000000      0.00000000
     20.80000000     -1.83043356      3.80592369     -1.05515368      3.17430584      4.29763821     32.30308462      0.00000000      0.00000000
     20.90000000     -1.85578919      3.74568524     -0.89508416      3.46811390      4.33031832     32.70545767      0.00000000      0.00000000
     21.00000000     -1.88057854      3.68075279     -0.88730789      3.79656910      4.36507181     33.10279967      0.00000000      0.00000000
     21.10000000     -1.89964667      3.62557377     -1.01965060      4.10055475      4.39426325     33.48166528      0.00000000      0.00000000
     21.20000000     -1.91182193      3.58731328     -1.25461243      4.34102123      4.41433908     33.84040879      0.00000000      0.00000000
     21.30000000     -1.91770263      3.56781744     -1.55382071      4.49926252      4.42452086     34.18508704      0.00000000      0.00000000
     21.40000000     -1.91797742      3.56688856     -1.88505271      4.56634639      4.42500519     34.52458853      0.00000000      0.00000000
     21.50000000     -1.91289546      3.58380729     -2.21883464      4.53585835      4.41617242     34.86844394      0.00000000      0.00000000
     21.60000000     -1.90246669      3.61694447     -2.52160409      4.40222715      4.39880245     35.22516296      0.00000000      0.00000000
     21.70000000     -1.88758434      3.66107893     -2.75018118      4.16697090      4.37551387     35.59789981      0.00000000      0.00000000
     21.80000000     -1.87203470      3.70390772     -2.86078635      3.85347434      4.35273128     35.97818556      0.00000000      0.00000000
     21.90000000     -1.86229314      3.72929025     -2.83768758      3.50882328      4.33913732     36.35060870      0.00000000      0.00000000
     22.00000000     -1.86356640      3.72603050     -2.70035253      3.17850062      4.34088712     36.70772498      0.00000000      0.00000000
     22.10000000     -1.87748197      3.68924703     -2.48015205      2.89125657      4.36055128     37.05226894      0.00000000      0.00000000
     22.20000000     -1.90255490      3.61667241     -2.20657034      2.66400531      4.39894546     37.39020706      0.00000000      0.00000000
     22.30000000     -1.93472722      3.50678455     -1.90725084      2.50716210      4.45620360     37.72659169      0.00000000      0.00000000
     22.40000000     -1.96751170      3.35902329     -1.61034440      2.42498286      4.53189897     38.06434523      0.00000000      0.00000000
     22.50000000     -1.99234059      3.17486840     -1.34430086      2.41326187      4.62484299     38.40411960      0.00000000      0.00000000
     22.60000000     -1.99957689      2.95886302     -1.13433857      2.45750222      4.73295892     38.74473736      0.00000000      0.00000000
     22.70000000     -1.98013639      2.71882414     -0.99731712      2.53425362      4.85344420     39.08427332      0.00000000      0.00000000
     22.80000000     -1.92710559      2.46496353     -0.93858408      2.61604371      4.98320545     39.42156908      0.00000000      0.00000000
     22.90000000     -1.83670116      2.20846424     -0.95321635      2.67692405      5.11929283     39.75745484      0.00000000      0.00000000
     23.00000000     -1.70855253      1.96036148     -1.03004501      2.69495493      5.25902835     40.09497547      0.00000000      0.00000000
     23.10000000     -1.54582275      1.73097202     -1.15446718      2.65121156      5.39976853     40.43860030      0.00000000      0.00000000
     23.20000000     -1.35548954      1.52940553     -1.30780181      2.52826782      5.53849412     40.79299867      0.00000000      0.00000000
     23.30000000     -1.14850762      1.36264535     -1.46438571      2.31144514      5.67149291     41.16208648      0.00000000      0.00000000
     23.40000000     -0.93922517      1.23425481     -1.58968648      1.99379420      5.79433339     41.54889613      0.00000000      0.00000000
     23.50000000     -0.74373483      1.14342830     -1.64200660      1.58286866      5.90216541     41.95652526      0.00000000      0.00000000
     23.60000000     -0.57759228      1.08521877     -1.57736057      1.10674442      5.99021615     42.38997351      0.00000000      0.00000000
